
#separator:pipe
#html:true
Abolish | v. Put an end to (esp. A custom or institution). [latin aboleo destroy]
Tremendous | adj. <br>1 colloq. Remarkable, considerable, excellent. <br>2 awe-inspiring, overpowering.  tremendously adv. [latin tremendus to be trembled at: related to *tremor]
Tribe | n. <br>1 group of (esp. Primitive) families or communities, linked by social, religious, or blood ties, and usu. Having a common culture and dialect and a recognized leader. <br>2 any similar natural or political division. <br>3 usu. Derog. Set or number of persons, esp. Of one profession etc. Or family.  tribal adj. Tribalism n. [latin tribus]
Tribunal | n. <br>1 board appointed to adjudicate in some matter. <br>2 court of justice. <br>3 seat or bench for a judge or judges. [latin: related to *tribune]
Tribute | n. <br>1 thing said or done or given as a mark of respect or affection etc. <br>2 (foll. By to) indication of (some praiseworthy quality) (their success is a tribute to their perseverance). <br>3 hist. A periodic payment by one state or ruler to another, esp. As a sign of dependence. B obligation to pay this. [latin tributum neuter past part. Of tribuo -ut- assign, originally divide between *tribes]
Trigger | <br>—n. <br>1 movable device for releasing a spring or catch and so setting off a mechanism (esp. That of a gun). <br>2 event, occurrence, etc., that sets off a chain reaction. <br>—v. (often foll. By off) set (an action or process) in motion; precipitate.  quick on the trigger quick to respond. [tricker from dutch trekker from trekken pull]
Trillion | n. (pl. Same) <br>1 a million million (1012). <br>2 (now less often) a million million million (1018).  trillionth adj. & n. [french or italian: related to *tri-, *million, after billion]
Trio | n. (pl. -s) <br>1 group of three. <br>2 mus. A composition for three performers. B the performers. [french and italian from latin]
Triumph | <br>—n. <br>1 a state of victory or success (returned in triumph). B a great success or achievement. <br>2 supreme example (a triumph of engineering). <br>3 joy at success; exultation (triumph in her face). <br>4 processional entry of a victorious general into ancient rome. <br>—v. <br>1 (often foll. By over) gain a victory; be successful. <br>2 (of an ancient roman general) ride in triumph. <br>3 (often foll. By over) exult.  triumphal adj. [french from latin]
Usage | triumphal, meaning ‘of or used in celebrating a triumph’ as in triumphal arch should not be confused with triumphant meaning ‘victorious’ or ‘exultant’.
Usage | see note at triumph.
Troop | <br>—n. <br>1 assembled company; assemblage of people or animals. <br>2 (in pl.) Soldiers, armed forces. <br>3 cavalry unit under a captain. <br>4 unit of artillery or armoured vehicles. <br>5 grouping of three or more scout patrols. <br>—v. (foll. By in, out, off, etc.) Come together or move in large numbers.  troop the colour transfer a flag ceremonially at a public mounting of garrison guards. [french troupe]
Trophy | n. (pl. -ies) <br>1 cup etc. As a prize in a contest. <br>2 memento or souvenir of success in hunting, war, etc. [greek tropaion]
Trustee | n. Person or member of a board managing property in trust with a legal obligation to administer it solely for the purposes specified.  trusteeship n.
Usage | use of the verb try with and (see sense 1) is uncommon in negative contexts (except in the imperative, e.g. Don't try and get the better of me) and in the past tense.
Tsunami | n. (pl. -s) long high sea wave caused by underwater earthquakes etc. [japanese]
Tuition | n. <br>1 teaching, esp. If paid for. <br>2 fee for this. [latin tueor tuit- look after]
Usage | turbid is sometimes confused with turgid which means ‘swollen, inflated; pompous’.
Usage | turgid is sometimes confused with turbid which means ‘muddy, not clear; confused’.
Turnout | n. <br>1 number of people attending a meeting, voting at an election, etc. <br>2 set or display of equipment, clothes, etc.
Turnover | n. <br>1 act of turning over. <br>2 gross amount of money taken in a business. <br>3 rate at which goods are sold and replaced in a shop. <br>4 rate at which people enter and leave employment etc. <br>5 small pie made by folding pastry over a filling.
Twist | <br>—v. <br>1 a change the form of by rotating one end and not the other or the two ends in opposite directions. B undergo such a change. C wrench or pull out of shape with a twisting action (twisted my ankle). <br>2 a wind (strands etc.) About each other. B form (a rope etc.) In this way. <br>3 a give a spiral form to. B take a spiral form. <br>4 (foll. By off) break off by twisting. <br>5 misrepresent the meaning of (words). <br>6 a take a winding course. B make (one's way) in a winding manner. <br>7 colloq. Cheat. <br>8 (as twisted adj.) Derog. (of a person or mind) neurotic; perverted. <br>9 dance the twist. <br>—n. <br>1 act of twisting. <br>2 twisted state. <br>3 thing formed by twisting. <br>4 point at which a thing twists or bends. <br>5 usu. Derog. Peculiar tendency of mind or character etc. <br>6 unexpected development of events, esp. In a story etc. <br>7 (prec. By the) popular 1960s dance with a twisting movement of the hips.  round the twist slang crazy. Twist a person's arm colloq. Coerce, esp. Using moral pressure. Twist round one's finger easily persuade or dominate (a person).  twisty adj. (-ier, -iest). [related to *twin, *twine]
Ultimate | <br>—adj. <br>1 last or last possible, final. <br>2 fundamental, primary, basic (ultimate truths). <br>—n. <br>1 (prec. By the) best achievable or imaginable. <br>2 final or fundamental fact or principle.  ultimately adv. [latin ultimus last]
Usage | the number of words that can be formed with this prefix (and with un-2) is virtually unlimited; consequently only a selection can be given here.
Usage | see note at un-1.
Unacceptable | adj. Not acceptable.  unacceptably adv.
Undergo | v. (3rd sing. Present -goes; past -went; past part. -gone) be subjected to; suffer; endure.
Undergraduate | n. Person studying for a first degree.
Underlying | pres. Part. Of *underlie.
Undermine | v. (-ning) <br>1 injure (a person, reputation, health, etc.) Secretly or insidiously. <br>2 wear away the base of (banks were undermined). <br>3 make an excavation under.
Undertake | v. (-king; past -took; past part. -taken) <br>1 agree to perform or be responsible for; engage in, enter upon (work, a responsibility, etc.). <br>2 (usu. Foll. By to + infin.) Promise. <br>3 guarantee (undertake that he is innocent).
Usage | see note at exceptionable.
Usage | see note at exceptionable.
Unfold | v. <br>1 open the fold or folds of, spread out. <br>2 reveal (thoughts etc.). <br>3 become opened out. <br>4 develop.
Unfortunate | <br>—adj. <br>1 unlucky. <br>2 unhappy. <br>3 regrettable. <br>—n. Unfortunate person.
Unify | v. (-ies, -ied) make or become united or uniform. [latin: related to *uni-]
Usage | in sense 1, unique cannot be qualified by adverbs such as absolutely, most, and quite. The use of unique in sense <br>2 is regarded as incorrect by some people.
Unite | v. (-ting) <br>1 join together; combine, esp. For a common purpose or action (united in their struggle). <br>2 join in marriage. <br>3 (cause to) form a physical or chemical whole (oil will not unite with water). [latin unio -it- from unus one]
Unity | n. (pl. -ies) <br>1 a oneness; being one; interconnected parts constituting a whole (national unity). B such a complex whole (person regarded as a unity). <br>2 a being united; solidarity. B harmony (lived together in unity). <br>3 the number ‘one’. [latin unus one]
Universal | <br>—adj. Of, belonging to, or done etc. By all; applicable to all cases. <br>—n. Term, characteristic, or concept of general application.  universality n. Universally adv. [latin: related to *universe]
Unprecedented | adj. Having no precedent; unparalleled.  unprecedentedly adv.
Usage | see note at unsocial.
Usage | unsocial is sometimes confused with unsociable.
Usage | until, as opposed to till, is used esp. At the beginning of a sentence and in formal style, e.g. Until you told me, i had no idea; he resided there until his decease.
Usage | the use of this term, and social restrictions accompanying it, were declared illegal under the indian constitution in 1949.
Unveil | v. <br>1 uncover (a statue etc.) Ceremonially. <br>2 reveal. <br>3 remove a veil from; remove one's veil.
Upgrade | v. (-ding) <br>1 raise in rank etc. <br>2 improve (equipment etc.).
Uphold | v. (past and past part. Upheld) <br>1 confirm (a decision etc.). <br>2 support, maintain (a custom etc.).  upholder n.
Usage | upon is sometimes more formal than on, but is standard in once upon a time and upon my word.
Urgent | adj. <br>1 requiring immediate action or attention. <br>2 importunate.  urgency n. Urgently adv. [french: related to *urge]
Usage | n. <br>1 use, treatment (damaged by rough usage). <br>2 customary practice, esp. In the use of a language or as creating a precedent in law.
Useless | adj. <br>1 serving no purpose; unavailing. <br>2 colloq. Feeble or ineffectual (useless at swimming).  uselessly adv. Uselessness n.
Utility | n. (pl. -ies) <br>1 usefulness. <br>2 useful thing. <br>3 = *public utility. <br>4 (attrib.) Basic and standardized (utility furniture). [latin utilis useful: related to *use]
Utilize | v. (also -ise) (-zing or -sing) use; turn to account.  utilization n. [italian: related to *utility]
Vacuum | <br>—n. (pl. -s or -cua) <br>1 space entirely devoid of matter. <br>2 space or vessel from which all or some of the air has been pumped out. <br>3 absence of the normal or previous content, activities, etc. <br>4 (pl. -s) colloq. Vacuum cleaner. <br>—v. Colloq. Clean with a vacuum cleaner. [latin vacuus empty]
Vague | adj. <br>1 uncertain or ill-defined. <br>2 (of a person or mind) imprecise; inexact in thought, expression, or understanding.  vaguely adv. Vagueness n. [latin vagus wandering]
Valid | adj. <br>1 (of a reason, objection, etc.) Sound, defensible. <br>2 a executed with the proper formalities, legally acceptable (valid contract; valid passport). B not yet expired.  validity n. [latin validus strong: related to *valiant]
Vanish | v. <br>1 disappear. <br>2 cease to exist. [latin: related to *vain]
Variable | <br>—adj. <br>1 changeable, adaptable. <br>2 apt to vary; not constant. <br>3 math. (of a quantity) indeterminate; able to assume different numerical values. <br>—n. Variable thing or quantity.  variability n. Variably adv.
Variation | n. <br>1 varying. <br>2 departure from the normal kind, amount, a standard, etc. (prices are subject to variation). <br>3 extent of this. <br>4 variant thing. <br>5 mus. Theme in a changed or elaborated form.
Varied | adj. Showing variety.
Usage | various (unlike several) cannot be used with of, as (wrongly) in various of the guests arrived late.
Vein | n. <br>1 a any of the tubes conveying blood to the heart. B (in general use) any blood-vessel. <br>2 rib of an insect's wing or leaf. <br>3 streak of a different colour in wood, marble, cheese, etc. <br>4 fissure in rock filled with ore. <br>5 specified character or tendency; mood (spoke in a sarcastic vein).  veined adj. Veiny adj. (-ier, -iest). [latin vena]
Usage | venal is sometimes confused with venial, which means ‘pardonable’.
Usage | venial is sometimes confused with venal, which means ‘corrupt’.
Venture | <br>—n. <br>1 risky undertaking. <br>2 commercial speculation. <br>—v. (-ring) <br>1 dare; not be afraid. <br>2 dare to go, make, or put forward (venture out; venture an opinion). <br>3 a expose to risk; stake. B take risks. [from *adventure]
